creationdateuserloan;Closing price
2017-04-13;1,572.81
2017-04-12;1,575.02
2017-04-11;1,570.91
2017-04-10;1,572.47
2017-04-07;1,569.67
2017-04-06;1,564.05
2017-04-05;1,558.56
2017-04-04;1,567.30
2017-04-03;1,571.41
2017-03-31;1,587.63
2017-03-30;1,583.88
2017-03-29;1,584.43
2017-03-28;1,580.09
2017-03-27;1,574.51
2017-03-24;1,579.70
2017-03-23;1,581.28
2017-03-22;1,562.96
2017-03-21;1,570.88
2017-03-20;1,583.25
2017-03-17;1,584.97
2017-03-16;1,593.25
2017-03-15;1,588.89
2017-03-14;1,586.00
2017-03-13;1,594.71
2017-03-10;1,587.93
2017-03-09;1,583.73
2017-03-08;1,578.23
2017-03-07;1,575.77
2017-03-06;1,575.52
2017-03-03;1,581.32
2017-03-02;1,580.53
2017-03-01;1,591.37
2017-02-28;1,570.17
2017-02-27;1,564.63
2017-02-24;1,569.86
2017-02-23;1,588.30
2017-02-22;1,582.13
2017-02-21;1,590.09
2017-02-20;1,576.33
2017-02-17;1,570.59
2017-02-16;1,576.33
2017-02-15;1,574.02
2017-02-14;1,569.75
2017-02-13;1,572.18
2017-02-10;1,562.73
2017-02-09;1,557.50
2017-02-08;1,549.24
2017-02-07;1,550.94
2017-02-06;1,548.90
2017-02-03;1,557.31
2017-02-02;1,551.85
2017-02-01;1,547.31
2017-01-31;1,536.75
2017-01-30;1,528.89
2017-01-27;1,538.76
2017-01-26;1,553.89
2017-01-25;1,545.99
2017-01-24;1,522.85
2017-01-23;1,504.69
2017-01-20;1,525.49
2017-01-19;1,513.92
2017-01-18;1,515.99
2017-01-17;1,507.32
2017-01-16;1,512.97
2017-01-13;1,522.49
2017-01-12;1,503.31
2017-01-11;1,511.88
2017-01-10;1,510.09
2017-01-09;1,509.82
2017-01-05;1,522.10
2017-01-04;1,530.93
2017-01-03;1,534.70
2017-01-02;1,526.83
2016-12-30;1,517.20
2016-12-29;1,518.37
2016-12-28;1,527.30
2016-12-27;1,533.31
2016-12-23;1,525.80
2016-12-22;1,519.54
2016-12-21;1,525.47
2016-12-20;1,536.72
2016-12-19;1,542.71
2016-12-16;1,548.20
2016-12-15;1,550.52
2016-12-14;1,541.39
2016-12-13;1,551.00
2016-12-12;1,537.93
2016-12-09;1,534.27
2016-12-08;1,520.15
2016-12-07;1,503.95
2016-12-06;1,492.17
2016-12-05;1,483.29
2016-12-02;1,470.08
2016-12-01;1,477.95
2016-11-30;1,481.14
2016-11-29;1,467.18
2016-11-28;1,472.68
2016-11-25;1,491.23
2016-11-24;1,484.33
2016-11-23;1,482.63
2016-11-22;1,485.05
2016-11-21;1,478.58
2016-11-18;1,476.47
2016-11-17;1,472.05
2016-11-16;1,458.25
2016-11-15;1,466.46
2016-11-14;1,443.08
2016-11-11;1,451.53
2016-11-10;1,460.52
2016-11-09;1,456.71
2016-11-08;1,439.43
2016-11-07;1,431.77
2016-11-04;1,406.10
2016-11-03;1,421.01
2016-11-02;1,417.37
2016-11-01;1,431.87
2016-10-31;1,446.35
2016-10-28;1,459.36
2016-10-27;1,456.55
2016-10-26;1,454.21
2016-10-25;1,451.27
2016-10-24;1,456.79
2016-10-21;1,464.85
2016-10-20;1,465.84
2016-10-19;1,455.27
2016-10-18;1,458.63
2016-10-17;1,438.28
2016-10-14;1,446.00
2016-10-13;1,426.69
2016-10-12;1,442.50
2016-10-11;1,455.41
2016-10-10;1,467.45
2016-10-07;1,451.65
2016-10-06;1,458.38
2016-10-05;1,452.50
2016-10-04;1,456.22
2016-10-03;1,443.46
2016-09-30;1,439.08
2016-09-29;1,434.81
2016-09-28;1,425.24
2016-09-27;1,421.20
2016-09-26;1,418.19
2016-09-23;1,437.52
2016-09-22;1,446.01
2016-09-21;1,422.66
2016-09-20;1,418.44
2016-09-19;1,419.01
2016-09-16;1,405.31
2016-09-15;1,416.83
2016-09-14;1,409.89
2016-09-13;1,410.79
2016-09-12;1,417.36
2016-09-09;1,426.56
2016-09-08;1,440.03
2016-09-07;1,441.52
2016-09-06;1,435.19
2016-09-05;1,440.76
2016-09-02;1,437.24
2016-09-01;1,417.59
2016-08-31;1,418.14
2016-08-30;1,418.43
2016-08-29;1,411.98
2016-08-26;1,411.65
2016-08-25;1,405.08
2016-08-24;1,412.94
2016-08-23;1,406.55
2016-08-22;1,391.47
2016-08-19;1,393.61
2016-08-18;1,403.02
2016-08-17;1,392.05
2016-08-16;1,406.26
2016-08-15;1,421.58
2016-08-12;1,414.21
2016-08-11;1,416.90
2016-08-10;1,405.99
2016-08-09;1,411.35
2016-08-08;1,385.68
2016-08-05;1,378.83
2016-08-04;1,365.85
2016-08-03;1,352.34
2016-08-02;1,358.62
2016-08-01;1,379.46
2016-07-29;1,386.66
2016-07-28;1,382.08
2016-07-27;1,387.51
2016-07-26;1,382.73
2016-07-25;1,385.97
2016-07-22;1,377.47
2016-07-21;1,381.70
2016-07-20;1,386.59
2016-07-19;1,371.90
2016-07-18;1,368.25
2016-07-15;1,372.80
2016-07-14;1,364.92
2016-07-13;1,356.35
2016-07-12;1,354.51
2016-07-11;1,350.09
2016-07-08;1,326.21
2016-07-07;1,305.33
2016-07-06;1,284.58
2016-07-05;1,303.01
2016-07-04;1,325.54
2016-07-01;1,340.26
2016-06-30;1,323.57
2016-06-29;1,309.57
2016-06-28;1,278.52
2016-06-27;1,246.10
2016-06-23;1,360.73
2016-06-22;1,354.60
2016-06-21;1,344.59
2016-06-20;1,340.29
2016-06-17;1,298.38
2016-06-16;1,278.71
2016-06-15;1,304.09
2016-06-14;1,273.97
2016-06-13;1,294.51
2016-06-10;1,315.06
2016-06-09;1,344.00
2016-06-08;1,361.49
2016-06-07;1,367.15
2016-06-03;1,345.44
2016-06-02;1,359.14
2016-06-01;1,356.75
2016-05-31;1,369.48
2016-05-30;1,379.80
2016-05-27;1,376.50
2016-05-26;1,376.15
2016-05-25;1,367.07
2016-05-24;1,357.10
2016-05-23;1,338.97
2016-05-20;1,342.68
2016-05-19;1,321.80
2016-05-18;1,340.93
2016-05-17;1,331.71
2016-05-16;1,336.14
2016-05-13;1,323.18
2016-05-12;1,312.28
2016-05-11;1,326.13
2016-05-10;1,332.58
2016-05-09;1,328.20
2016-05-06;1,309.17
2016-05-04;1,319.17
2016-05-03;1,335.39
2016-05-02;1,352.91
2016-04-29;1,360.71
2016-04-28;1,389.61
2016-04-27;1,386.78
2016-04-26;1,389.80
2016-04-25;1,389.57
2016-04-22;1,396.37
2016-04-21;1,409.49
2016-04-20;1,419.67
2016-04-19;1,410.87
2016-04-18;1,381.89
2016-04-15;1,381.33
2016-04-14;1,384.11
2016-04-13;1,392.59
2016-04-12;1,366.60
2016-04-11;1,368.62
2016-04-08;1,364.94
2016-04-07;1,330.84
2016-04-06;1,349.02
2016-04-05;1,333.85
2016-04-04;1,361.86
2016-04-01;1,358.22
2016-03-31;1,365.70
2016-03-30;1,376.82
2016-03-29;1,348.70
2016-03-24;1,345.34
2016-03-23;1,368.21
2016-03-22;1,382.44
2016-03-21;1,377.56
2016-03-18;1,391.38
2016-03-17;1,390.86
2016-03-16;1,393.10
2016-03-15;1,403.95
2016-03-14;1,424.19
2016-03-11;1,418.39
2016-03-10;1,385.06
2016-03-09;1,398.47
2016-03-08;1,390.58
2016-03-07;1,397.04
2016-03-04;1,403.77
2016-03-03;1,389.45
2016-03-02;1,383.71
2016-03-01;1,391.45
2016-02-29;1,372.54
2016-02-26;1,370.80
2016-02-25;1,360.97
2016-02-24;1,327.85
2016-02-23;1,366.53
2016-02-22;1,385.74
2016-02-19;1,355.95
2016-02-18;1,362.98
2016-02-17;1,374.25
2016-02-16;1,328.14
2016-02-15;1,336.17
2016-02-12;1,286.67
2016-02-11;1,247.06
2016-02-10;1,297.82
2016-02-09;1,271.45
2016-02-08;1,273.95
2016-02-05;1,330.11
2016-02-04;1,333.72
2016-02-03;1,305.49
2016-02-02;1,320.29
2016-02-01;1,342.43
2016-01-29;1,356.32
2016-01-28;1,333.32
2016-01-27;1,365.59
2016-01-26;1,375.74
2016-01-25;1,354.41
2016-01-22;1,361.36
2016-01-21;1,312.60
2016-01-20;1,290.95
2016-01-19;1,332.17
2016-01-18;1,306.02
2016-01-15;1,305.24
2016-01-14;1,339.47
2016-01-13;1,360.98
2016-01-12;1,351.26
2016-01-11;1,348.64
2016-01-08;1,348.76
2016-01-07;1,357.12
2016-01-05;1,387.03
2016-01-04;1,394.39
2015-12-30;1,446.82
2015-12-29;1,452.95
2015-12-28;1,434.06
2015-12-23;1,446.69
2015-12-22;1,413.74
2015-12-21;1,419.13
2015-12-18;1,422.63
2015-12-17;1,438.32
2015-12-16;1,428.02
2015-12-15;1,426.47
2015-12-14;1,389.26
2015-12-11;1,401.14
2015-12-10;1,433.41
2015-12-09;1,440.94
2015-12-08;1,454.99
2015-12-07;1,494.52
2015-12-04;1,485.32
2015-12-03;1,502.41
2015-12-02;1,533.87
2015-12-01;1,530.52
2015-11-30;1,536.05
2015-11-27;1,522.00
2015-11-26;1,522.28
2015-11-25;1,506.52
2015-11-24;1,488.89
2015-11-23;1,515.80
2015-11-20;1,521.87
2015-11-19;1,512.77
2015-11-18;1,514.18
2015-11-17;1,513.93
2015-11-16;1,479.04
2015-11-13;1,476.21
2015-11-12;1,488.40
2015-11-11;1,511.46
2015-11-10;1,499.40
2015-11-09;1,511.55
2015-11-06;1,526.49
2015-11-05;1,523.25
2015-11-04;1,529.43
2015-11-03;1,507.45
2015-11-02;1,502.44
2015-10-30;1,499.23
2015-10-29;1,495.86
2015-10-28;1,499.64
2015-10-27;1,487.03
2015-10-26;1,506.16
2015-10-23;1,506.59
2015-10-22;1,484.47
2015-10-21;1,452.09
2015-10-20;1,466.67
2015-10-19;1,458.00
2015-10-16;1,452.36
2015-10-15;1,453.87
2015-10-14;1,442.75
2015-10-13;1,460.11
2015-10-12;1,481.43
2015-10-09;1,483.74
2015-10-08;1,464.49
2015-10-07;1,452.01
2015-10-06;1,457.15
2015-10-05;1,456.97
2015-10-02;1,412.86
2015-10-01;1,404.45
2015-09-30;1,416.89
2015-09-29;1,391.88
2015-09-28;1,389.38
2015-09-25;1,418.47
2015-09-24;1,381.87
2015-09-23;1,421.50
2015-09-22;1,425.39
2015-09-21;1,462.66
2015-09-18;1,453.11
2015-09-17;1,486.46
2015-09-16;1,483.66
2015-09-15;1,469.08
2015-09-14;1,467.73
2015-09-11;1,488.41
2015-09-10;1,494.35
2015-09-09;1,507.15
2015-09-08;1,488.88
2015-09-07;1,471.75
2015-09-04;1,461.46
2015-09-03;1,500.21
2015-09-02;1,471.51
2015-09-01;1,469.86
2015-08-31;1,501.07
2015-08-28;1,509.71
2015-08-27;1,502.86
2015-08-26;1,458.20
2015-08-25;1,483.35
2015-08-24;1,428.08
2015-08-21;1,495.36
2015-08-20;1,534.39
2015-08-19;1,553.51
2015-08-18;1,583.53
2015-08-17;1,592.81
2015-08-14;1,586.83
2015-08-13;1,594.15
2015-08-12;1,575.04
2015-08-11;1,614.72
2015-08-10;1,636.54
2015-08-07;1,612.28
2015-08-06;1,621.56
2015-08-05;1,627.42
2015-08-04;1,611.88
2015-08-03;1,618.28
2015-07-31;1,615.64
2015-07-30;1,603.50
2015-07-29;1,597.86
2015-07-28;1,588.22
2015-07-27;1,581.33
2015-07-24;1,612.80
2015-07-23;1,619.81
2015-07-22;1,621.27
2015-07-21;1,636.42
2015-07-20;1,653.44
2015-07-17;1,635.47
2015-07-16;1,636.12
2015-07-15;1,601.97
2015-07-14;1,616.25
2015-07-13;1,614.42
2015-07-10;1,590.54
2015-07-09;1,549.59
2015-07-08;1,520.88
2015-07-07;1,516.12
2015-07-06;1,526.94
2015-07-03;1,553.60
2015-07-02;1,562.10
2015-07-01;1,575.50
2015-06-30;1,541.66
2015-06-29;1,559.80
2015-06-26;1,608.26
2015-06-25;1,601.12
2015-06-24;1,611.50
2015-06-23;1,620.95
2015-06-22;1,606.62
2015-06-18;1,562.43
2015-06-17;1,567.46
2015-06-16;1,582.23
2015-06-15;1,566.99
2015-06-12;1,597.33
2015-06-11;1,604.89
2015-06-10;1,610.38
2015-06-09;1,587.84
2015-06-08;1,589.57
2015-06-05;1,606.45
2015-06-04;1,625.02
2015-06-03;1,641.69
2015-06-02;1,638.65
2015-06-01;1,649.59
2015-05-29;1,644.99
2015-05-28;1,667.06
2015-05-27;1,664.08
2015-05-26;1,638.49
2015-05-25;1,650.69
2015-05-22;1,648.46
2015-05-21;1,642.19
2015-05-20;1,637.48
2015-05-19;1,633.26
2015-05-18;1,622.57
2015-05-15;1,616.48
2015-05-13;1,622.01
2015-05-12;1,600.10
2015-05-11;1,617.03
2015-05-08;1,616.45
2015-05-07;1,587.65
2015-05-06;1,584.18
2015-05-05;1,595.48
2015-05-04;1,634.10
2015-04-30;1,628.04
2015-04-29;1,636.18
2015-04-28;1,679.52
2015-04-27;1,719.93
2015-04-24;1,698.51
2015-04-23;1,689.77
2015-04-22;1,706.25
2015-04-21;1,694.73
2015-04-20;1,678.28
2015-04-17;1,655.72
2015-04-16;1,690.93
2015-04-15;1,710.61
2015-04-14;1,701.39
2015-04-13;1,700.36
2015-04-10;1,699.96
2015-04-09;1,695.94
2015-04-08;1,686.77
2015-04-07;1,697.43
2015-04-02;1,675.52
2015-04-01;1,669.49
2015-03-31;1,667.73
2015-03-30;1,687.17
2015-03-27;1,662.56
2015-03-26;1,675.61
2015-03-25;1,694.39
2015-03-24;1,701.29
2015-03-23;1,698.38
2015-03-20;1,710.87
2015-03-19;1,707.50
2015-03-18;1,703.96
2015-03-17;1,675.88
2015-03-16;1,689.67
2015-03-13;1,665.13
2015-03-12;1,661.69
2015-03-11;1,663.31
2015-03-10;1,641.71
2015-03-09;1,660.36
2015-03-06;1,662.55
2015-03-05;1,669.56
2015-03-04;1,664.50
2015-03-03;1,661.87
2015-03-02;1,686.64
2015-02-27;1,691.03
2015-02-26;1,684.83
2015-02-25;1,678.73
2015-02-24;1,683.92
2015-02-23;1,679.48
2015-02-20;1,664.33
2015-02-19;1,662.24
2015-02-18;1,652.15
2015-02-17;1,630.99
2015-02-16;1,644.29
2015-02-13;1,642.04
2015-02-12;1,624.35
2015-02-11;1,593.03
2015-02-10;1,602.74
2015-02-09;1,591.40
2015-02-06;1,599.55
2015-02-05;1,586.13
2015-02-04;1,579.31
2015-02-03;1,593.42
2015-02-02;1,575.95
2015-01-30;1,573.62
2015-01-29;1,570.39
2015-01-28;1,562.54
2015-01-27;1,533.37
2015-01-26;1,554.70
2015-01-23;1,536.39
2015-01-22;1,523.80
2015-01-21;1,501.22
2015-01-20;1,491.59
2015-01-19;1,476.31
2015-01-16;1,468.90
2015-01-15;1,457.36
2015-01-14;1,434.79
2015-01-13;1,465.66
2015-01-12;1,453.64
2015-01-09;1,444.46
2015-01-08;1,456.72
2015-01-07;1,421.34
2015-01-05;1,454.81
2015-01-02;1,463.78
